S.No,District,Name of the crop,Type of Season,Area as per Season and Crop Report (in Hectare),Estimated Average Yield per (Kg/Hectare),Estimated Production (Tonnes)
6,Tiruvannamalai,Potato,Kharif and Rabi Combined,0,0,0
7,Salem,Potato,Kharif and Rabi Combined,0,0,0
8,Namakkal,Potato,Kharif and Rabi Combined,0,0,0
9,Dharmapuri,Potato,Kharif and Rabi Combined,0,0,0
10,Coimbatore,Potato,Kharif and Rabi Combined,0,0,0
11,Erode,Potato,Kharif and Rabi Combined,414,9628.312,3986
12,Tiruchirappalli,Potato,Kharif and Rabi Combined,0,0,0
13,Karur,Potato,Kharif and Rabi Combined,0,0,0
14,Perambalur,Potato,Kharif and Rabi Combined,0,0,0
15,Thanjavur,Potato,Kharif and Rabi Combined,0,0,0
16,Tiruvarur,Potato,Kharif and Rabi Combined,0,0,0
17,Nagapattinam,Potato,Kharif and Rabi Combined,0,0,0
18,Pudukkottai,Potato,Kharif and Rabi Combined,0,0,0
19,Madurai,Potato,Kharif and Rabi Combined,0,0,0
20,Theni,Potato,Kharif and Rabi Combined,4,17310.373,41337
21,Dindigul,Potato,Kharif and Rabi Combined,2140,19316.463,0
22,Ramanathapuram,Potato,Kharif and Rabi Combined,0,0,0
23,Virudhunagar,Potato,Kharif and Rabi Combined,0,0,0
24,Sivaganga,Potato,Kharif and Rabi Combined,0,0,0
25,Tirunelveli,Potato,Kharif and Rabi Combined,0,0,0
26,Thoothukudi,Potato,Kharif and Rabi Combined,0,0,0
27,Kanniyakumari,Potato,Kharif and Rabi Combined,0,0,0
28,The Nilgiris,Potato,Kharif and Rabi Combined,942,22303.193,21012
29,Krishnagiri,Potato,Kharif and Rabi Combined,80,25870.745,2070
30,Ariyalur,Potato,Kharif and Rabi Combined,0,0,0
31,Tiruppur,Potato,Kharif and Rabi Combined,2,22630.117,45
Total,State Total,Potato,Kharif and Rabi Combined,3582,19128.175,68450
1,Kancheepuram,Ginger,Kharif,0,0,0
2,Tiruvallur,Ginger,Kharif,0,0,0
3,Cuddalore,Ginger,Kharif,0,0,0
4,Villupuram,Ginger,Kharif,0,0,0
5,Vellore,Ginger,Kharif,1,19536.353,20
6,Tiruvannamalai,Ginger,Kharif,0,0,0
7,Salem,Ginger,Kharif,0,0,0
8,Namakkal,Ginger,Kharif,0,0,0
9,Dharmapuri,Ginger,Kharif,0,0,0
10,Coimbatore,Ginger,Kharif,12,19536.353,234
11,Erode,Ginger,Kharif,8,19536.353,156
12,Tiruchirappalli,Ginger,Kharif,0,0,0
13,Karur,Ginger,Kharif,0,0,0
14,Perambalur,Ginger,Kharif,0,0,0
15,Thanjavur,Ginger,Kharif,5,19536.353,98
16,Tiruvarur,Ginger,Kharif,0,0,0
17,Nagapattinam,Ginger,Kharif,0,0,0
18,Pudukkottai,Ginger,Kharif,0,0,0
19,Madurai,Ginger,Kharif,0,0,0
20,Theni,Ginger,Kharif,1,19536.353,20
21,Dindigul,Ginger,Kharif,1,19536.353,20
22,Ramanathapuram,Ginger,Kharif,0,0,0
23,Virudhunagar,Ginger,Kharif,0,0,0
24,Sivaganga,Ginger,Kharif,0,0,0
25,Tirunelveli,Ginger,Kharif,0,0,0
26,Thoothukudi,Ginger,Kharif,0,0,0
27,Kanniyakumari,Ginger,Kharif,4,19536.353,78
28,The Nilgiris,Ginger,Kharif,348,19536.353,6799
29,Krishnagiri,Ginger,Kharif,0,0,0
30,Ariyalur,Ginger,Kharif,0,0,0
31,Tiruppur,Ginger,Kharif,0,0,0
Total,State Total,Ginger,Kharif,380,19536.353,7425
1,Kancheepuram,Coriander,Rabi,0,0,0
2,Tiruvallur,Coriander,Rabi,0,0,0
3,Cuddalore,Coriander,Rabi,0,0,0
4,Villupuram,Coriander,Rabi,0,0,0
5,Vellore,Coriander,Rabi,75,510.323,38
6,Tiruvannamalai,Coriander,Rabi,1,510.323,1
7,Salem,Coriander,Rabi,9,510.323,5
8,Namakkal,Coriander,Rabi,116,510.323,59
9,Dharmapuri,Coriander,Rabi,47,510.323,24
10,Coimbatore,Coriander,Rabi,339,351.929,119
11,Erode,Coriander,Rabi,3,510.323,2
12,Tiruchirappalli,Coriander,Rabi,117,411.369,48
13,Karur,Coriander,Rabi,4,510.323,2
14,Perambalur,Coriander,Rabi,27,0,14
15,Thanjavur,Coriander,Rabi,0,0,0
16,Tiruvarur,Coriander,Rabi,0,0,0
17,Nagapattinam,Coriander,Rabi,0,0,0
18,Pudukkottai,Coriander,Rabi,0,0,0
19,Madurai,Coriander,Rabi,14,510.323,7
20,Theni,Coriander,Rabi,240,510.323,122
21,Dindigul,Coriander,Rabi,8,510.323,4
22,Ramanathapuram,Coriander,Rabi,1878,694.62,1304
23,Virudhunagar,Coriander,Rabi,1913,289.871,555
24,Sivaganga,Coriander,Rabi,19,510.323,10
25,Tirunelveli,Coriander,Rabi,2,510.323,1
26,Thoothukudi,Coriander,Rabi,2573,464.784,1196
27,Kanniyakumari,Coriander,Rabi,0,0,0
28,The Nilgiris,Coriander,Rabi,1,510.323,1
29,Krishnagiri,Coriander,Rabi,16,510.323,8
30,Ariyalur,Coriander,Rabi,12,510.323,6
31,Tiruppur,Coriander,Rabi,642,912.278,586
Total,State Total,Coriander,Rabi,8056,510.323,4112
1,Kancheepuram,Cashewnut,NA,231,224.484,52
2,Tiruvallur,Cashewnut,NA,157,224.484,35
3,Cuddalore,Cashewnut,NA,29257,110.286,3227
4,Villupuram,Cashewnut,NA,4201,814.855,3423
5,Vellore,Cashewnut,NA,15,224.484,3
6,Tiruvannamalai,Cashewnut,NA,8,224.484,2
7,Salem,Cashewnut,NA,59,224.484,13
8,Namakkal,Cashewnut,NA,1,224.484,0
9,Dharmapuri,Cashewnut,NA,1,224.484,0
10,Coimbatore,Cashewnut,NA,39,224.484,9
11,Erode,Cashewnut,NA,10,224.484,2
12,Tiruchirappalli,Cashewnut,NA,636,230.227,146
13,Karur,Cashewnut,NA,13,224.484,3
14,Perambalur,Cashewnut,NA,3,224.484,1
15,Thanjavur,Cashewnut,NA,1513,226.338,342
16,Tiruvarur,Cashewnut,NA,4,224.484,1
17,Nagapattinam,Cashewnut,NA,1720,124.903,215
18,Pudukkottai,Cashewnut,NA,5623,144.485,812
19,Madurai,Cashewnut,NA,161,224.484,36
20,Theni,Cashewnut,NA,3418,151.701,519
21,Dindigul,Cashewnut,NA,381,224.484,86
22,Ramanathapuram,Cashewnut,NA,140,224.484,31
23,Virudhunagar,Cashewnut,NA,49,224.484,11
24,Sivaganga,Cashewnut,NA,3044,1.575,5
25,Tirunelveli,Cashewnut,NA,3087,133.356,412
26,Thoothukudi,Cashewnut,NA,548,325.911,179
27,Kanniyakumari,Cashewnut,NA,1004,253.892,255
28,The Nilgiris,Cashewnut,NA,0,0,0
29,Krishnagiri,Cashewnut,NA,5,224.484,1
30,Ariyalur,Cashewnut,NA,30393,309.995,9422
31,Tiruppur,Cashewnut,NA,162,224.484,36
Total,State Total,Cashewnut,NA,85883,224.484,19279
